seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,clock_cycles,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_expired_leases,cache1_multi_expired,cache1_default_renewals,cache1_default_misses,cache1_random_evicts,cache1_ID
1,128,SHEL,small,2mm,3195761,9,0,3690052,4,894561,13841,453,13144,11749,2,2,697,8
1,128,SHEL,small,3mm,5483943,12,0,6450002,4,1601270,27030,655,25068,19800,0,0,1962,8
1,128,SHEL,small,adi,9657653,16,0,13175330,4,2621985,92707,62377,72965,57289,212,80,19742,8
1,128,SHEL,small,atax,304227,7,0,334188,4,99987,825,29,825,825,93,7,0,8
1,128,SHEL,small,bicg,246306,5,0,291344,4,114473,839,26,839,839,211,14,0,8
1,128,SHEL,small,cholesky,2966629,8,0,3526713,4,862820,15640,645,14130,8908,121,0,1510,8
1,128,SHEL,small,correlation,3782373,15,0,12942316,4,777374,257433,4790,162222,66951,88,5,95211,8
1,128,SHEL,small,covariance,3755783,10,0,12961075,4,762956,258926,4812,164091,69261,82,1,94835,8
1,128,SHEL,small,deriche,2075032,20,0,5379739,4,307489,85747,27821,80842,62586,20,10,4905,8
1,128,SHEL,small,doitgen,4775638,9,0,4809576,4,1394072,930,926,930,930,2,1,0,8
1,128,SHEL,small,durbin,172786,22,0,174126,4,50013,15,0,0,0,261,8,0,8
1,128,SHEL,small,fdtd-2d,8174705,14,0,10915957,4,2576000,70972,35804,68421,57714,252,0,2551,8
1,128,SHEL,small,floyd-warshall,88099076,5,0,100460047,4,17508403,346741,320983,344674,304767,0,0,2067,8
1,128,SHEL,small,gemm,4104433,6,0,4662898,4,1336875,15527,475,13534,8820,2,1,1993,8
1,128,SHEL,small,gemver,537416,11,0,659971,4,170046,3356,970,2143,1041,242,17,1213,8
1,128,SHEL,small,gesummv,139151,4,0,181227,4,64235,927,18,927,927,92,0,0,8
1,128,SHEL,small,gramschmidt,4839793,14,0,5640147,4,1328325,18075,15661,11883,4866,0,0,6192,8
1,128,SHEL,small,heat-3d,13754691,13,0,16178385,4,3665431,67051,32682,66763,65017,2,0,288,8
1,128,SHEL,small,jacobi-1d,2173065,133,0,2206482,4,311677,3,0,0,0,44,1,0,8
1,128,SHEL,small,jacobi-2d,12454771,8,0,15044366,4,3644896,72225,39585,71268,66691,1,0,957,8
1,128,SHEL,small,lu,5862837,7,0,7432570,4,1691560,43460,1010,29615,22655,0,0,13845,8
1,128,SHEL,small,ludcmp,5458470,13,0,7077452,4,1158270,44708,1258,31825,25011,243,165,12883,8
1,128,SHEL,small,mvt,290196,5,0,387458,4,83933,2707,154,2480,2425,240,15,227,8
1,128,SHEL,small,nussinov,16076574,15,0,22997564,4,2845791,166422,2076,60186,46868,2,1,106236,8
1,128,SHEL,small,seidel-2d,9643209,8,0,11090611,4,2280457,32344,31830,30716,15572,1,0,1628,8
1,128,SHEL,small,symm,2386248,7,0,3378764,4,847957,20845,10533,12229,5690,2,0,8616,8
1,128,SHEL,small,syr2k,3573954,6,0,6324542,4,1101480,71402,2224,15783,10178,2,0,55619,8
1,128,SHEL,small,syrk,2397877,4,0,2705726,4,775453,8629,516,5464,4113,2,0,3165,8
1,128,SHEL,small,trisolv,73319,4,0,94892,4,21331,569,68,569,569,242,64,0,8
1,128,SHEL,small,trmm,1488447,6,0,1853864,4,424226,10175,370,5008,2316,1,0,5167,8
1,128,PRL,small,2mm,3195740,8,0,3730206,4,893432,14970,449,14565,13754,2,2,405,8
1,128,PRL,small,3mm,5483911,11,0,6543502,4,1598590,29710,646,29446,29099,0,0,264,8
1,128,PRL,small,adi,9656304,15,0,13660932,4,2609084,105328,70470,62732,50319,12,0,42596,8
1,128,PRL,small,atax,304227,7,0,334177,4,99987,825,29,825,825,93,7,0,8
1,128,PRL,small,bicg,246306,5,0,291324,4,114473,839,26,839,839,211,14,0,8
1,128,PRL,small,cholesky,2966629,8,0,3605182,4,860582,17878,603,17878,17878,121,0,0,8
1,128,PRL,small,correlation,3782328,16,0,11918131,4,806157,228650,4254,199621,137876,88,5,29029,8
1,128,PRL,small,covariance,3755750,10,0,12392088,4,778882,243000,4455,181919,92232,82,1,61081,8
1,128,PRL,small,deriche,2074963,19,0,6438999,4,286118,107114,50542,81913,65030,16,4,25201,8
1,128,PRL,small,doitgen,4775638,9,0,4809576,4,1394072,930,926,930,930,2,1,0,8
1,128,PRL,small,durbin,172786,22,0,174126,4,50013,15,0,0,0,261,8,0,8
1,128,PRL,small,fdtd-2d,8164867,8,0,10947830,4,2564315,74327,35750,65530,51882,2,0,8797,8
1,128,PRL,small,floyd-warshall,88098251,5,0,100443847,4,17508035,346284,320634,346089,341735,0,0,195,8
1,128,PRL,small,gemm,4104433,6,0,4643566,4,1337405,14997,430,14377,12296,2,1,620,8
1,128,PRL,small,gemver,537492,11,0,680411,4,169449,3953,976,2490,1796,242,17,1463,8
1,128,PRL,small,gesummv,139151,4,0,181236,4,64235,927,18,927,927,92,0,0,8
