seed,rate,num_ways,cache_size,policy,dataset_Size,benchmark_name,predicted_misses
2,64,512,512,CLAM,small,bicg,850
2,64,512,512,CLAM,small,lu,1606
2,64,512,512,CLAM,small,seidel-2d,23742
2,64,512,512,CLAM,small,gesummv,968
2,64,512,512,CLAM,small,floyd-warshall,316418
2,64,512,512,CLAM,small,doitgen,1482
2,64,512,512,CLAM,medium,deriche,591220
2,64,512,512,CLAM,medium,fdtd-2d,1758738
2,64,512,512,CLAM,medium,syrk,306929
2,64,512,512,CLAM,medium,nussinov,1356065
2,64,512,512,CLAM,medium,durbin,66
2,64,512,512,CLAM,medium,2mm,843515
2,64,512,512,CLAM,medium,gramschmidt,368443
2,64,512,512,CLAM,medium,3mm,1319272
2,64,512,512,CLAM,medium,adi,1943032
2,64,512,512,CLAM,medium,symm,583076
2,64,512,512,CLAM,medium,syr2k,704255
2,64,512,512,CLAM,medium,cholesky,600109
2,64,512,512,CLAM,medium,atax,10430
2,64,512,512,CLAM,medium,gemver,33423
2,64,512,512,CLAM,medium,gemm,574267
2,64,512,512,CLAM,medium,jacobi-2d,1470914
2,64,512,512,CLAM,medium,jacobi-1d,329
2,64,512,512,CLAM,medium,mvt,22146
2,64,512,512,CLAM,medium,heat-3d,1494667
2,64,512,512,CLAM,medium,trmm,271178
2,64,512,512,CLAM,medium,covariance,480938
2,64,512,512,CLAM,medium,correlation,479702
2,64,512,512,CLAM,medium,trisolv,5357
2,64,512,512,CLAM,medium,ludcmp,1288861
2,64,512,512,CLAM,medium,bicg,9921
2,64,512,512,CLAM,medium,lu,1274257
2,64,512,512,CLAM,medium,seidel-2d,991541
2,64,512,512,CLAM,medium,gesummv,7722
2,64,512,512,CLAM,medium,floyd-warshall,7665418
2,64,512,512,CLAM,medium,doitgen,10078
2,128,512,512,CLAM,small,deriche,21583
2,128,512,512,CLAM,small,fdtd-2d,29883
2,128,512,512,CLAM,small,syrk,1543
2,128,512,512,CLAM,small,nussinov,36032
2,128,512,512,CLAM,small,durbin,37
2,128,512,512,CLAM,small,2mm,1952
2,128,512,512,CLAM,small,gramschmidt,1557
2,128,512,512,CLAM,small,3mm,3142
2,128,512,512,CLAM,small,adi,33013
2,128,512,512,CLAM,small,symm,1925
2,128,512,512,CLAM,small,syr2k,2217
2,128,512,512,CLAM,small,cholesky,1102
2,128,512,512,CLAM,small,atax,841
2,128,512,512,CLAM,small,gemver,1309
2,128,512,512,CLAM,small,gemm,1804
2,128,512,512,CLAM,small,jacobi-2d,44549
2,128,512,512,CLAM,small,jacobi-1d,435
2,128,512,512,CLAM,small,mvt,1550
2,128,512,512,CLAM,small,heat-3d,38015
2,128,512,512,CLAM,small,trmm,1539
2,128,512,512,CLAM,small,covariance,1724
2,128,512,512,CLAM,small,correlation,1202
2,128,512,512,CLAM,small,trisolv,514
2,128,512,512,CLAM,small,ludcmp,1622
2,128,512,512,CLAM,small,bicg,810
2,128,512,512,CLAM,small,lu,1509
2,128,512,512,CLAM,small,seidel-2d,23238
2,128,512,512,CLAM,small,gesummv,949
2,128,512,512,CLAM,small,floyd-warshall,322059
2,128,512,512,CLAM,small,doitgen,963
2,128,512,512,CLAM,medium,deriche,584176
2,128,512,512,CLAM,medium,fdtd-2d,1740200
2,128,512,512,CLAM,medium,syrk,295319
2,128,512,512,CLAM,medium,nussinov,1354141
2,128,512,512,CLAM,medium,durbin,66
2,128,512,512,CLAM,medium,2mm,851515
2,128,512,512,CLAM,medium,gramschmidt,358624
2,128,512,512,CLAM,medium,3mm,1289743
2,128,512,512,CLAM,medium,adi,1933579
2,128,512,512,CLAM,medium,symm,568221
2,128,512,512,CLAM,medium,syr2k,693589
2,128,512,512,CLAM,medium,cholesky,595803
2,128,512,512,CLAM,medium,atax,9350
2,128,512,512,CLAM,medium,gemver,31976
2,128,512,512,CLAM,medium,gemm,569860
2,128,512,512,CLAM,medium,jacobi-2d,1466959
2,128,512,512,CLAM,medium,jacobi-1d,613
2,128,512,512,CLAM,medium,mvt,24158
2,128,512,512,CLAM,medium,heat-3d,1478412
2,128,512,512,CLAM,medium,trmm,260534
2,128,512,512,CLAM,medium,covariance,488846
2,128,512,512,CLAM,medium,correlation,477837
2,128,512,512,CLAM,medium,trisolv,5043
2,128,512,512,CLAM,medium,ludcmp,1287626
2,128,512,512,CLAM,medium,bicg,11661
2,128,512,512,CLAM,medium,lu,1297161
2,128,512,512,CLAM,medium,seidel-2d,997414
2,128,512,512,CLAM,medium,gesummv,8322
2,128,512,512,CLAM,medium,floyd-warshall,7695105
2,128,512,512,CLAM,medium,doitgen,8593
2,256,512,512,CLAM,small,deriche,19178
2,256,512,512,CLAM,small,fdtd-2d,38780
2,256,512,512,CLAM,small,syrk,1967
2,256,512,512,CLAM,small,nussinov,28031
2,256,512,512,CLAM,small,durbin,37
2,256,512,512,CLAM,small,2mm,2191
2,256,512,512,CLAM,small,gramschmidt,2569
2,256,512,512,CLAM,small,3mm,2432
2,256,512,512,CLAM,small,adi,34682
2,256,512,512,CLAM,small,symm,1156
2,256,512,512,CLAM,small,syr2k,2042
2,256,512,512,CLAM,small,cholesky,694
2,256,512,512,CLAM,small,atax,906
2,256,512,512,CLAM,small,gemver,3660
2,256,512,512,CLAM,small,gemm,1325
2,256,512,512,CLAM,small,jacobi-2d,42055
2,256,512,512,CLAM,small,jacobi-1d,498
2,256,512,512,CLAM,small,mvt,834
2,256,512,512,CLAM,small,heat-3d,37585
2,256,512,512,CLAM,small,trmm,1706
2,256,512,512,CLAM,small,covariance,1801
2,256,512,512,CLAM,small,correlation,1286
2,256,512,512,CLAM,small,trisolv,470
2,256,512,512,CLAM,small,ludcmp,1925
2,256,512,512,CLAM,small,bicg,938
2,256,512,512,CLAM,small,lu,715
2,256,512,512,CLAM,small,seidel-2d,23339
2,256,512,512,CLAM,small,gesummv,1464
2,256,512,512,CLAM,small,floyd-warshall,311674
2,256,512,512,CLAM,small,doitgen,1323
2,256,512,512,CLAM,medium,deriche,614395
2,256,512,512,CLAM,medium,fdtd-2d,1764627
2,256,512,512,CLAM,medium,syrk,293854
2,256,512,512,CLAM,medium,nussinov,1377932
2,256,512,512,CLAM,medium,durbin,66
2,256,512,512,CLAM,medium,2mm,836333
2,256,512,512,CLAM,medium,gramschmidt,369244
2,256,512,512,CLAM,medium,3mm,1277501
2,256,512,512,CLAM,medium,adi,1985233
2,256,512,512,CLAM,medium,symm,564939
2,256,512,512,CLAM,medium,syr2k,702911
2,256,512,512,CLAM,medium,cholesky,593158
2,256,512,512,CLAM,medium,atax,10920
2,256,512,512,CLAM,medium,gemver,33241
2,256,512,512,CLAM,medium,gemm,571356
2,256,512,512,CLAM,medium,jacobi-2d,1472879
2,256,512,512,CLAM,medium,jacobi-1d,1036
2,256,512,512,CLAM,medium,mvt,22680
2,256,512,512,CLAM,medium,heat-3d,1498754
2,256,512,512,CLAM,medium,trmm,252606
2,256,512,512,CLAM,medium,covariance,483456
2,256,512,512,CLAM,medium,correlation,474708
2,256,512,512,CLAM,medium,trisolv,4958
2,256,512,512,CLAM,medium,ludcmp,1248715
