seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,clock_cycles,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_ID,cacheL2_hits,cacheL2_misses,cacheL2_writebacks,cacheL2_expired_leases,cacheL2_multi_expired,cacheL2_default_renewals,cacheL2_default_misses,cacheL2_random_evicts,cacheL2_ID
1,64,PRL,small,cholesky,2966629,8,0,5,33554436,857579,20881,594,33554436,17893,3590,657,3590,3590,12,9,0,8
1,64,PRL,small,correlation,3782327,17,0,5,33554436,557187,477620,4194,33554436,478807,3024,2230,3008,2992,263,197,16,8
1,64,PRL,small,covariance,3755750,10,0,5,33554436,545486,476396,4030,33554436,477731,2705,2167,2703,2347,23,4,2,8
1,64,PRL,small,deriche,2074963,19,0,5,33554436,141446,251786,101440,33554436,330324,22921,10269,15831,14416,14,10,7090,8
1,64,PRL,small,doitgen,4775640,7,0,5,33554436,1392468,2534,1219,33554436,3122,638,567,638,638,3,2,0,8
1,64,PRL,small,durbin,172785,23,0,5,33554436,50013,15,1,33554436,2,37,0,0,0,24,23,0,8
1,64,PRL,small,fdtd-2d,8164866,9,0,5,33554436,2031081,607561,210504,33554436,772935,45139,30012,31595,22713,0,0,13544,8
1,64,PRL,small,floyd-warshall,88117845,4,0,5,33554436,17509793,364119,347420,33554436,394490,317053,295781,316286,292998,2,2,767,8
1,64,PRL,small,gemm,4104433,6,0,5,33554436,1330417,21985,541,33554436,21947,585,310,585,585,1,1,0,8
1,64,PRL,small,gemver,537491,12,0,5,33554436,159366,14036,1320,33554436,13391,1977,954,1831,1631,137,89,146,8
1,64,PRL,small,gesummv,139151,4,0,5,33554436,60321,4841,3200,33554436,7424,621,65,621,621,15,1,0,8
1,64,PRL,small,gramschmidt,4839797,10,0,5,33554436,1315642,30758,20906,33554436,50894,780,706,780,780,3,3,0,8
1,64,PRL,small,heat-3d,13753576,11,0,5,33554436,3659681,72801,33210,33554436,58635,47387,29128,33381,31035,4,4,14006,8
1,64,PRL,small,jacobi-1d,2171357,1841,0,5,33554436,311677,3,0,33554436,1747,97,0,0,0,3,3,0,8
1,64,PRL,small,jacobi-2d,12453890,9,0,5,33554436,3636880,80241,39750,33554436,63488,56512,36355,43765,38545,0,0,12747,8
1,64,PRL,small,lu,5859950,7,0,5,33554436,1664420,70600,958,33554436,68433,3132,1061,3132,3132,2,2,0,8
1,64,PRL,small,ludcmp,5455572,12,0,5,33554436,1131076,71664,982,33554436,68733,3925,1105,3925,3925,97,93,0,8
1,64,PRL,small,mvt,290175,4,0,5,33554436,82307,4333,205,33554436,3431,1111,268,1111,1111,36,7,0,8
1,64,PRL,small,nussinov,16076703,15,0,5,33554436,2725419,286794,1271,33554436,246818,41262,1568,34949,32780,3,3,6313,8
1,64,PRL,small,seidel-2d,9643209,8,0,5,33554436,2276800,36001,35447,33554436,49000,22456,21994,22456,22456,5,5,0,8
1,64,PRL,small,symm,2386248,7,0,5,33554436,829607,39195,15814,33554436,50416,4600,791,4600,4600,1,1,0,8
1,64,PRL,small,syr2k,3573954,6,0,5,33554436,851842,321040,10335,33554436,323245,8136,689,8136,8136,0,0,0,8
1,64,PRL,small,syrk,2397877,4,0,5,33554436,694540,89542,3067,33554436,92305,308,243,308,308,0,0,0,8
1,64,PRL,small,trisolv,73319,4,0,5,33554436,21341,559,128,33554436,475,216,81,216,216,31,11,0,8
1,64,PRL,small,trmm,1488447,6,0,5,33554436,326160,108241,324,33554436,108475,96,51,96,96,2,2,0,8
1,64,SHEL,small,2mm,3195759,11,0,5,33554436,874474,33928,577,33554436,33550,966,566,932,908,1,0,34,8
1,64,SHEL,small,3mm,5483944,11,0,5,33554436,1565843,62457,912,33554436,61637,1743,846,1589,1323,33,3,154,8
1,64,SHEL,small,adi,9657654,15,0,5,33554436,1602133,1112559,563908,33554436,1629929,46553,39953,32740,26467,163,44,13662,8
1,64,SHEL,small,correlation,3782371,17,0,5,33554436,557187,477620,4194,33554436,477714,4117,1344,980,720,262,188,3137,8
1,64,SHEL,small,covariance,3755782,11,0,5,33554436,545486,476396,4030,33554436,476554,3883,1235,846,600,28,11,3037,8
