seed,rate,policy,dataset_size,benchmark,cache0_hits,cache0_misses,cache0_writebacks,clock_cycles,cache0_ID,cache1_hits,cache1_misses,cache1_writebacks,cache1_ID,cacheL2_hits,cacheL2_misses,cacheL2_writebacks,cacheL2_expired_leases,cacheL2_multi_expired,cacheL2_default_renewals,cacheL2_default_misses,cacheL2_random_evicts,cacheL2_ID
1,64,C-SHEL,medium,fdtd-2d,205772724,15,0,5,33554436,51389411,15484001,5356266,33554436,18795160,2045122,903855,1996544,1459369,110,108,48578,8
1,64,C-SHEL,medium,gemver,5935258,10,0,5,33554436,1684951,237051,12763,33554436,215087,34737,10595,24096,22607,80,79,10641,8
1,64,C-SHEL,medium,heat-3d,322399505,16,0,5,33554436,84846501,2952601,729800,33554436,2168793,1513624,729842,1482529,1166807,8,8,31095,8
1,64,C-SHEL,medium,jacobi-2d,246464909,10,0,5,33554436,72248200,1556601,775280,33554436,830691,1501200,774033,1461941,1102524,0,0,39259,8
1,64,C-SHEL,medium,lu,214459195,10,0,5,33554436,47852917,16226483,10042,33554436,14739705,1496830,10257,949424,907766,0,0,547406,8
1,64,C-SHEL,medium,ludcmp,194887567,17,0,5,33554436,26910113,16318485,86404,33554436,14851982,1552924,11107,906617,883690,62,62,646307,8
1,64,C-SHEL,medium,mvt,3207236,5,0,5,33554436,780124,180676,399,33554436,161044,20036,596,19714,19656,127,27,322,8
1,64,PRL,medium,2mm,155021420,9,0,5,33554436,30495159,13736243,8672,33554436,12861569,883355,5277,878469,864644,1,1,4886,8
1,64,PRL,medium,3mm,229121775,10,0,5,33554436,47020559,21491341,13518,33554436,20159092,1345777,7679,1337152,1213534,0,0,8625,8
1,64,PRL,medium,adi,279220724,15,0,5,33554436,45461209,33144803,16440176,33554436,46898660,2686334,1772358,1690579,1226930,104,3,995755,8
1,64,PRL,medium,atax,3365102,10,0,5,33554436,1096464,23252,6359,33554436,19836,9785,175,9785,9785,31,26,0,8
1,64,PRL,medium,bicg,2724139,7,0,5,33554436,1228118,51888,20760,33554436,62866,9789,158,9789,9789,2,2,0,8
1,64,PRL,medium,cholesky,107626426,11,0,5,33554436,31453943,706257,5244,33554436,80400,631112,5468,630842,611500,32,29,270,8
1,64,PRL,medium,correlation,84441048,16,0,5,33554436,8441704,14611503,35855,33554436,13877720,769654,35067,705754,95455,39,39,63900,8
1,64,PRL,medium,covariance,84246150,10,0,5,33554436,8351912,14604930,34641,33554436,13866337,773244,35024,688973,95083,0,0,84271,8
1,64,PRL,medium,deriche,29070024,18,0,5,33554436,1987212,3542404,1425664,33554436,3663453,1304633,554867,1095263,708550,16,13,209370,8
1,64,PRL,medium,doitgen,74304235,9,0,5,33554436,17466896,4493108,21660,33554436,4507465,7312,7298,7312,7312,4,3,0,8
1,64,PRL,medium,durbin,1844815,23,0,5,33554436,558661,49,2,33554436,3,71,0,0,0,59,56,0,8
1,64,PRL,medium,fdtd-2d,205704126,9,0,5,33554436,51338701,15469901,5356164,33554436,18721529,2104545,900665,1691905,980397,0,0,412640,8
1,64,PRL,medium,floyd-warshall,1884921847,4,0,5,33554436,375107938,7811895,7685344,33554436,7793127,7704116,7560716,7702809,7473420,2,2,1307,8
1,64,PRL,medium,gemm,127457413,6,0,5,33554436,41652396,675606,7634,33554436,110899,572347,4021,572241,570505,1,1,106,8
1,64,PRL,medium,gemver,5935613,11,0,5,33554436,1684951,237051,12763,33554436,215634,34191,10399,24287,23069,109,107,9904,8
1,64,PRL,medium,gesummv,1066511,4,0,5,33554436,477114,23888,10160,33554436,26536,7516,121,7516,7516,15,1,0,8
1,64,PRL,medium,gramschmidt,144281270,14,0,5,33554436,17241796,23102204,5793552,33554436,28489189,406581,383985,359667,339676,2,2,46914,8
1,64,PRL,medium,heat-3d,322407515,14,0,5,33554436,85420000,2968002,739100,33554436,2202212,1504904,729776,1487874,1249802,15,7,17030,8
1,64,PRL,medium,jacobi-1d,18164859,6039,0,5,33554436,2617444,9856,3222,33554436,19019,98,0,0,0,104,2,0,8
1,64,PRL,medium,jacobi-2d,246462710,9,0,5,33554436,72248200,1556601,775280,33554436,824659,1507231,774517,1457009,1075495,207,92,50222,8
1,64,PRL,medium,lu,214449588,9,0,5,33554436,47852917,16226483,10042,33554436,14742978,1493556,10254,973643,941863,2,2,519913,8
1,64,PRL,medium,ludcmp,194877949,15,0,5,33554436,26909714,16318086,86010,33554436,14922176,1481935,10569,1022472,942605,124,117,459463,8
1,64,PRL,medium,mvt,3207215,4,0,5,33554436,780124,180676,399,33554436,158793,22286,520,22286,22286,25,25,0,8
1,64,PRL,medium,nussinov,337120268,18,0,5,33554436,44797275,18449978,8341,33554436,16844772,1613565,8721,1217793,1174887,35,32,395772,8
1,64,PRL,medium,seidel-2d,270759711,8,0,5,33554436,63078000,1000001,995025,33554436,1017795,977239,971419,977203,967287,104,104,36,8
