00000000,ffffffff,ffffffff,ffffffff,0fffffff,00010558,81008a20,02410409,09e04010,110e8050,b4942e58,f8b87423,4fe52ab7,cc0c27a6,87100078,fb531443,fbfffffe,			fffffeff,ffffffff,fffd77ff,07fb6fbf,00010558,81008a20,02410409,09e04010,110e8050,b4942e58,f8b8f423,4fe52ab7,cc0c27a6,87100078,			fb411443,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0000027f,00000000,00000000,00000000
00000000,fffbffff,ffffffff,ffffffff,ffffffff,000107ff,81008a20,02410409,09e04010,310e8050,b4942e58,f8b8fc23,4fe52ab7,cc4c27a6,87140078,fb531543,fbfffffe,			fffffeff,ffffffff,ffff7fff,fffb6fbf,000107ff,81008a20,02410409,09e04010,310e8050,b4942e58,f8b8f423,4fe52ab7,cc4c27a6,87140078,			fb411543,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,000002bf,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffffffff,00011fff,81008a20,02410409,09e04010,310e8050,b4942e58,f898fc23,4fe52ab7,cc4c27a6,87140078,fb531543,fbfffffe,			fffffebf,ffffffff,ffffffff,ffdb6fbf,00011fff,81008a20,02410409,09e04010,310e8050,b4942e58,f8b8f423,4fe52ab7,cc4c27a6,87140078,			db411543,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,000002ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,fffbffbf,000117ff,81008a20,02010409,09e04010,310e8050,b4942e58,f8b8fc23,4fe52ab7,cc4c27a6,87140078,fb411543,fbfffffe,			ffffffbf,ffffffff,ffffffff,fffb6fbf,000117ff,81008a20,02410409,09e04010,310e8050,b4942e58,f8b8f423,4fe52ab7,cc4c27a6,87140078,			da411543,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0000033f,00000000,00000000,00000000
00000000,ffffffff,ffbff7ff,ffffffff,ffffffff,00011fff,81008a20,02410409,09e04010,310e8050,b4942e58,f8b8fc23,4fe52bb7,cc4c27a6,87140078,fb411543,fbfffffe,			ffffffbf,ffffffff,ffffffff,ffff7fff,000117ff,81008a20,02410409,09e04010,310e8050,b4142e58,f8b8f423,4fe52bb7,cc4c2726,87140078,			da411543,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0000037f,00000000,00000000,00000000
00000000,ffffffff,ffffffff,fffffff7,ffffffff,001fffff,81008a20,02410409,09e04010,310e8050,b4942e58,f8b8f623,4fe52bb7,cc4c27a6,87140078,db411543,f3ffffff,			fdffffbe,ffffffff,ffffffff,ffff7fff,001177ff,81008a20,02410409,09e04010,310e8050,b4142e58,f8b8f623,4fe52bb7,cc4c2726,87140078,			9a411543,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,000003bf,00000000,00000000,00000000
00000000,ffffffbf,ffffffef,ffffffff,ffffffff,001fffff,81008a20,02410409,09e04010,310e8050,b4942e58,f8b8f623,4fe52bb7,cc4c67a6,87140078,da411543,f3ffffff,			ffffffbe,ffffffff,ffffffff,ffff7fff,001177ff,81008a20,02410409,09e04010,310e8050,b4142e58,f8b8f623,4fe52bb7,cc4c6726,87140078,			9a411543,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,000003ff,00000000,00000000,00000000
00000000,ffffffff,ffffffff,ffffffff,ffffffff,003fffff,81008a20,02410409,09e04010,310e8050,bc942e5c,f8b8f623,4fe52bb7,cc4c6726,87140078,da411543,f3ffffff,			fffffffe,ffffcfff,ffffffff,ffff7fff,003177ff,81008a20,02410409,09e04010,310e8050,bc142e5c,f8b8f623,4fe52bb7,cc4c6726,87140078,			1a411543,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0000043f,00000000,00000000,00000000
00000000,fffffffe,dfffffff,ffffffff,ffffffff,003376ff,81008a20,02410409,09e04010,310e8050,bc142e5c,f8b8f623,4fe52bb7,cc4c6726,87140078,9a411543,f3ffffff,			fdfffffe,ffbfcfff,ffffffff,ffff7fff,003177ff,81008a20,02410409,09e04010,310e8050,bc142e5c,f8b8d623,4fe52bb7,cc4c6726,87140078,			9a411543,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0000047f,00000000,00000000,00000000
00000000,fffffdff,ffffffff,ffffffff,ffffffff,003377ff,81008a20,02410409,09e04010,300e8050,bc142e5c,f8b8f623,4fe52bb7,cc4c6726,87140078,ba411543,f7ffffff,			fdffffff,ffbfcfff,ffffffff,ffff7fff,003177ff,81008a20,02410409,09e04010,310e8050,bc142e5c,f8b8d623,4fe52bb7,cc4c6726,87140078,			ba411543,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,000004bf,00000000,00000000,00000000
00000000,ffffffff,fffffff7,ffffffff,ffffffff,003377ff,81008a20,02410409,09e04010,310e8050,bc142e5c,f8b8f623,4fe52bb7,cc4c6726,87140078,ba511543,ffffffff,			fdffffff,ffffffff,7fffffff,ffff7fff,003177ff,81008a20,02410409,09e04010,310e8050,bc142e5c,f8b8d623,4fe42bb7,cc4c6726,87140078,			ba511543,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,000004ff,00000000,00000000,00000000
00000000,fdffffff,fffeffff,ffffffff,fffffdff,003bf7ff,81008a20,02410409,09e04010,310e8050,bc142e5c,f8b8d623,4fe52bb7,cc4c6726,87140078,ba531543,f7ffffff,			fdffffff,ffffffff,7fffffff,fffc7fff,003177ff,81008a20,02410409,09e04010,310e8050,ac142e5c,f8a8d623,4fe42bb7,cc4c6726,87140078,			ba531543,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0000053f,00000000,00000000,00000000
00000000,fdffffff,ffffffff,ffffffff,ffffffff,003ff7ff,81008a20,02410409,09e04010,310e8050,bc142e5c,f8b8de23,4fe52ba7,cc4c6726,87140078,fa531543,ffffdfff,			fdff7fff,ffffffff,7fffffff,fffc7fff,003177ff,81008a20,02410409,09e04010,310e8050,ac142e5c,f8a8d623,4fe42bb7,cc4c6726,87140078,			fa531543,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0000057f,00000000,00000000,00000000
